KD_OBAT,TGL,qty
AI-0001,2015-06-25,6
AI-0001,2015-07-06,3
AI-0001,2015-07-16,3
AI-0001,2015-07-18,3
AI-0001,2015-07-23,16
AI-0001,2015-08-10,3
AI-0001,2015-08-12,5
AI-0001,2015-09-06,3
AI-0001,2015-09-15,4
AI-0001,2015-09-16,6
AI-0001,2015-09-30,3
AI-0001,2015-10-07,6
AI-0001,2015-10-16,3
AI-0001,2015-10-22,13
AI-0001,2015-10-28,6
AI-0001,2015-10-30,3
AI-0001,2015-11-01,3
AI-0001,2015-11-02,6
AI-0001,2015-11-03,3
AI-0001,2015-11-04,6
AI-0001,2015-11-05,5
AI-0001,2015-11-07,3
AI-0001,2015-11-09,3
AI-0001,2015-11-16,6
AI-0001,2015-11-19,16
AI-0001,2015-11-23,3
AI-0001,2015-11-25,16
AI-0001,2015-11-27,10
AI-0001,2015-11-28,5
AI-0001,2015-11-29,3
AI-0001,2015-11-30,3
AI-0001,2015-12-03,5
AI-0001,2015-12-04,6
AI-0001,2015-12-06,3
AI-0001,2015-12-10,6
AI-0001,2015-12-14,10
AI-0001,2015-12-17,3
AI-0001,2015-12-21,9
AI-0001,2015-12-26,3
AI-0010,2015-08-20,30
AI-0011,2015-03-28,30
AI-0011,2015-05-26,30
AI-0011,2015-06-05,30
AI-0011,2015-06-10,60
AI-0011,2015-06-25,30
AI-0011,2015-06-27,30
AI-0011,2015-07-23,30
AI-0011,2015-07-25,30
AI-0011,2015-08-07,30
AI-0011,2015-08-20,30
AI-0011,2015-08-27,30
AI-0011,2015-09-15,30
AI-0011,2015-09-30,120
AI-0011,2015-10-21,30
AI-0011,2015-10-31,135
AI-0011,2015-11-14,48
AI-0011,2015-11-21,30
AI-0011,2015-11-24,10
AI-0011,2015-11-25,30
AI-0011,2015-11-26,10
AI-0011,2015-11-30,75
AI-0011,2015-12-09,30
AI-0011,2015-12-10,30
AI-0024,2015-01-01,10
AI-0024,2015-01-09,1
AI-0024,2015-01-12,10
AI-0024,2015-01-24,21
AI-0024,2015-01-27,6
AI-0024,2015-01-28,9
AI-0024,2015-02-04,15
AI-0024,2015-02-05,20
AI-0024,2015-02-06,24
AI-0024,2015-02-07,134
AI-0024,2015-02-10,20
AI-0024,2015-02-24,9
AI-0024,2015-03-02,3
AI-0024,2015-03-08,15
AI-0024,2015-03-11,9
AI-0024,2015-03-12,9
AI-0024,2015-03-28,25
AI-0024,2015-04-08,15
AI-0024,2015-04-09,27
AI-0024,2015-04-10,30
AI-0024,2015-04-13,15
AI-0024,2015-04-15,21
AI-0024,2015-04-16,15
AI-0024,2015-04-17,15
AI-0024,2015-04-20,9
AI-0024,2015-04-21,4
AI-0024,2015-04-22,20
AI-0024,2015-04-23,30
AI-0024,2015-04-25,10
AI-0024,2015-04-28,19
AI-0024,2015-04-29,15
AI-0024,2015-05-02,9
AI-0024,2015-05-12,9
AI-0024,2015-05-22,15
AI-0024,2015-05-23,9
AI-0024,2015-05-24,12
AI-0024,2015-05-26,20
AI-0024,2015-06-02,20
AI-0024,2015-06-06,30
AI-0024,2015-06-10,4
AI-0024,2015-06-16,25
AI-0024,2015-06-23,9
AI-0024,2015-06-26,10
AI-0024,2015-06-30,21
AI-0024,2015-07-01,30
AI-0024,2015-07-04,15
AI-0024,2015-07-08,10
AI-0024,2015-07-14,6
AI-0024,2015-07-20,9
AI-0024,2015-07-21,9
AI-0024,2015-07-22,15
AI-0024,2015-07-25,36
AI-0024,2015-07-26,2
AI-0024,2015-08-04,10
AI-0024,2015-08-08,25
AI-0024,2015-08-11,9
AI-0024,2015-08-15,9
AI-0024,2015-08-16,12
AI-0024,2015-08-25,10
AI-0024,2015-09-01,3
AI-0024,2015-09-02,24
AI-0024,2015-09-05,9
AI-0024,2015-09-09,45
AI-0024,2015-09-18,0
AI-0024,2015-09-23,15
AI-0024,2015-09-26,15
AI-0024,2015-09-30,10
AI-0024,2015-10-01,10
AI-0024,2015-10-03,10
AI-0024,2015-10-07,15
AI-0024,2015-10-10,10
AI-0024,2015-10-15,15
AI-0024,2015-10-16,9
AI-0024,2015-10-21,9
AI-0024,2015-11-04,15
AI-0024,2015-11-07,20
AI-0024,2015-11-17,8
AI-0024,2015-11-18,33
AI-0024,2015-11-21,15
AI-0024,2015-12-03,20
AI-0024,2015-12-11,20
AI-0024,2015-12-14,25
AI-0024,2015-12-16,70
AI-0025,2015-01-01,104
AI-0025,2015-01-02,24
AI-0025,2015-01-03,20
AI-0025,2015-01-06,10
AI-0025,2015-01-07,62
AI-0025,2015-01-08,24
AI-0025,2015-01-14,3
AI-0025,2015-01-16,7
AI-0025,2015-01-17,20
AI-0025,2015-01-25,15
AI-0025,2015-01-29,30
AI-0025,2015-01-30,19
AI-0025,2015-02-02,45
AI-0025,2015-02-03,50
AI-0025,2015-02-04,30
AI-0025,2015-02-06,15
AI-0025,2015-02-07,60
AI-0025,2015-02-12,8
AI-0025,2015-02-15,20
AI-0025,2015-02-17,25
AI-0025,2015-02-18,60
AI-0025,2015-02-22,14
AI-0025,2015-02-23,4
AI-0025,2015-02-24,20
AI-0025,2015-03-01,10
AI-0025,2015-03-04,15
AI-0025,2015-03-05,20
AI-0025,2015-03-10,70
AI-0025,2015-03-12,12
AI-0025,2015-03-14,10
AI-0025,2015-03-15,12
AI-0025,2015-03-18,50
AI-0025,2015-03-20,30
AI-0025,2015-03-23,11
AI-0025,2015-03-24,39
AI-0025,2015-03-26,6
AI-0025,2015-03-27,30
AI-0025,2015-04-07,14
AI-0025,2015-04-08,20
AI-0025,2015-04-11,50
AI-0025,2015-04-15,5
AI-0025,2015-04-16,12
AI-0025,2015-04-17,30
AI-0025,2015-04-21,12
AI-0025,2015-04-23,70
AI-0025,2015-04-24,52
AI-0025,2015-04-25,65
AI-0025,2015-04-26,20
AI-0025,2015-04-28,59
AI-0025,2015-04-29,15
AI-0025,2015-04-30,10
AI-0025,2015-05-05,32
