KD_OBAT,TGL,qty
AI-0024,2014-12-29,10
AI-0024,2015-01-05,1
AI-0024,2015-01-12,10
AI-0024,2015-01-19,21
AI-0024,2015-01-26,15
AI-0024,2015-02-02,193
AI-0024,2015-02-09,20
AI-0024,2015-02-23,9
AI-0024,2015-03-02,18
AI-0024,2015-03-09,18
AI-0024,2015-03-23,25
AI-0024,2015-04-06,72
AI-0024,2015-04-13,66
AI-0024,2015-04-20,73
AI-0024,2015-04-27,43
AI-0024,2015-05-11,9
AI-0024,2015-05-18,36
AI-0024,2015-05-25,20
AI-0024,2015-06-01,50
AI-0024,2015-06-08,4
AI-0024,2015-06-15,25
AI-0024,2015-06-22,19
AI-0024,2015-06-29,66
AI-0024,2015-07-06,10
AI-0024,2015-07-13,6
AI-0024,2015-07-20,71
AI-0024,2015-08-03,35
AI-0024,2015-08-10,30
AI-0024,2015-08-24,10
AI-0024,2015-08-31,36
AI-0024,2015-09-07,45
AI-0024,2015-09-14,0
AI-0024,2015-09-21,30
AI-0024,2015-09-28,30
AI-0024,2015-10-05,25
AI-0024,2015-10-12,24
AI-0024,2015-10-19,9
AI-0024,2015-11-02,35
AI-0024,2015-11-16,56
AI-0024,2015-11-30,20
AI-0024,2015-12-07,20
AI-0024,2015-12-14,95
AI-0025,2014-12-29,148
AI-0025,2015-01-05,96
AI-0025,2015-01-12,30
AI-0025,2015-01-19,15
AI-0025,2015-01-26,49
AI-0025,2015-02-02,200
AI-0025,2015-02-09,28
AI-0025,2015-02-16,99
AI-0025,2015-02-23,34
AI-0025,2015-03-02,35
AI-0025,2015-03-09,104
AI-0025,2015-03-16,80
AI-0025,2015-03-23,86
AI-0025,2015-04-06,84
AI-0025,2015-04-13,47
AI-0025,2015-04-20,219
AI-0025,2015-04-27,84
AI-0025,2015-05-04,173
AI-0025,2015-05-11,142
AI-0025,2015-05-18,7
AI-0025,2015-05-25,65
AI-0025,2015-06-01,130
AI-0025,2015-06-08,27
AI-0025,2015-06-15,30
AI-0025,2015-06-22,277
AI-0025,2015-06-29,109
AI-0025,2015-07-06,101
AI-0025,2015-07-20,52
AI-0025,2015-07-27,159
AI-0025,2015-08-03,110
AI-0025,2015-08-10,28
AI-0025,2015-08-17,153
AI-0025,2015-08-24,3
AI-0025,2015-08-31,94
AI-0025,2015-09-07,116
AI-0025,2015-09-14,90
AI-0025,2015-09-21,51
AI-0025,2015-09-28,90
AI-0025,2015-10-05,55
AI-0025,2015-10-12,67
AI-0025,2015-10-19,143
AI-0025,2015-10-26,143
AI-0025,2015-11-02,62
AI-0025,2015-11-09,135
AI-0025,2015-11-16,53
AI-0025,2015-11-23,94
AI-0025,2015-11-30,250
AI-0025,2015-12-07,246
AI-0025,2015-12-14,98
AI-0025,2015-12-21,160
AI-0025,2015-12-28,110
AI-0027,2014-12-29,2
AI-0027,2015-01-05,7
AI-0027,2015-01-12,1
AI-0027,2015-01-19,25
AI-0027,2015-01-26,26
