f_stock_AX,f_stock_A3C,f_stock_PPO,f_action_AX,f_action_A3C,f_action_PPO,w_1_stock_AX,w_1_stock_A3C,w_1_stock_PPO,w_1_action_AX,w_1_action_A3C,w_1_action_PPO,w_2_stock_AX,w_2_stock_A3C,w_2_stock_PPO,w_2_action_AX,w_2_action_A3C,w_2_action_PPO,w_3_stock_AX,w_3_stock_A3C,w_3_stock_PPO,w_3_action_AX,w_3_action_A3C,w_3_action_PPO,w_4_stock_AX,w_4_stock_A3C,w_4_stock_PPO,w_4_action_AX,w_4_action_A3C,w_4_action_PPO
-146,74,74,246,131,131,136.72,164,164,81,120,120,166.36,160,160,91,36,36,92.48,105,105,0,30,30,816.52,258.585,160.585,720,162,64
-72,74,74,246,131,131,181.88,164,164,81,139,139,241.64,160,160,91,36,36,88.76,105,105,0,30,30,809.12,413.06,246.06,0,162,93
83,74,74,246,131,131,156.84,164,164,0,139,139,300,160,160,91,36,36,85.16,105,105,0,30,30,794.52,560.425,324.425,0,162,93
83,74,74,0,131,131,141.8,164,164,0,139,139,296.44,160,160,0,36,36,77.76,105,105,0,30,30,769.96,697.86,392.86,0,162,93
241.4,74,74,236.16,131,131,212,164,164,77.76,139,139,293.04,160,160,0,36,36,63.68,105,105,0,30,30,734.28,824.425,450.425,0,162,93
248,74,74,9.84,131,131,211.2,164,164,3.24,139,139,285.24,160,160,0,36,36,38.88,105,105,0,30,30,689.52,941.905,498.905,0,162,93
90.56,74,74,0,131,131,207.08,164,164,0,139,139,270.04,160,160,0,36,36,161.04,105,105,157.44,30,30,639.24,1053.445,541.445,0,162,93
84,74,74,0,131,131,199.72,164,164,0,139,139,244.96,160,160,0,36,36,123.12,105,105,6.56,30,30,586.68,1162.98,581.98,0,162,93
232.8,74,74,236.16,131,131,185.12,164,164,0,139,139,295.4,160,160,87.36,36,36,72.24,105,105,0,30,30,536.28,1200,624.42,0,162,93
182.12,74,74,39.36,131,131,160.8,164,164,0,139,139,254.48,160,160,3.64,36,36,19.44,105,105,0,30,30,578.44,1200,672.935,86.4,162,93
-394.96,74,74,246,131,131,125.24,164,164,0,139,139,229.2,160,160,25.48,36,36,132.8,105,105,164,30,30,1176.84,1200,730.425,633.6,162,93
-295.48,74,74,246,131,131,161.28,164,164,81,139,139,241.56,160,160,65.52,36,36,88.56,105,105,0,30,30,1152.28,1200,798.785,0,162,93
-140.48,74,74,246,131,131,110.68,164,164,0,139,139,281.76,160,160,91,36,36,53.16,105,105,0,30,30,1136.96,1200,876.375,0,162,93
-1.72,74,74,246,131,131,139.2,164,164,81,139,139,237.36,160,160,0,36,36,55,105,105,26.24,30,30,1129.72,1200,961.835,0,162,93
-55.76,74,74,246,131,131,159.84,164,164,71.28,139,139,292.92,160,160,91,36,36,177.32,105,105,137.76,30,30,1125.8,1200,1051.205,0,162,93
151,74,74,216.48,131,131,125.28,164,164,9.72,139,139,267.92,160,160,0,36,36,170.2,105,105,0,30,30,1122.48,1200,1140.945,0,162,93
70,74,74,0,131,131,170.48,164,164,81,139,139,251.68,160,160,0,36,36,166.64,105,105,0,30,30,1115.04,1200,1200,0,162,93
150.6,74,74,127.92,131,131,146.76,164,164,0,139,139,275.44,160,160,47.32,36,36,163.12,105,105,0,30,30,1099.84,1200,1200,0,162,93
180.04,74,74,118.08,131,131,179.64,164,164,48.6,139,139,296.56,160,160,40.04,36,36,155.4,105,105,0,30,30,1075.4,1200,1200,0,162,93
144,74,74,0,131,131,204.48,164,164,32.4,139,139,295.32,160,160,3.64,36,36,140.48,105,105,0,30,30,1039.8,1200,1200,0,162,93
144,74,74,0,131,131,201.12,164,164,0,139,139,287.48,160,160,0,36,36,116.08,105,105,0,30,30,995.28,1200,1200,0,162,93
144,74,74,0,131,131,197.6,164,164,0,139,139,271.84,160,160,0,36,36,80.08,105,105,0,30,30,944.48,1200,1200,0,162,93
144,74,74,0,131,131,190.44,164,164,0,139,139,247.68,160,160,0,36,36,35.64,105,105,0,30,30,891.76,1200,1200,0,162,93
135.72,74,74,226.32,131,131,175.12,164,164,0,139,139,293.48,160,160,83.72,36,36,135.68,105,105,150.88,30,30,841.48,1200,1200,0,162,93
135,74,74,19.68,131,131,149.88,164,164,0,139,139,255.8,160,160,7.28,36,36,96.08,105,105,13.12,30,30,797.6,1200,1200,0,162,93
102.6,74,74,0,131,131,146.8,164,164,32.4,139,139,204.84,160,160,0,36,36,45.08,105,105,0,30,30,762.4,1200,1200,0,162,93
110.6,74,74,246,131,131,150.72,164,164,48.6,139,139,243.48,160,160,91,36,36,98.96,105,105,98.4,30,30,737.64,1200,1200,0,162,93
177.72,74,74,246,131,131,126.68,164,164,25.92,139,139,280.2,160,160,87.36,36,36,129.04,105,105,65.6,30,30,722,1200,1200,0,162,93
119,74,74,0,131,131,129.32,164,164,55.08,139,139,239.04,160,160,3.64,36,36,105.36,105,105,0,30,30,714.48,1200,1200,0,162,93
199.88,74,74,246,131,131,156.12,164,164,77.76,139,139,290.52,160,160,87.36,36,36,90.44,105,105,0,30,30,711.12,1200,1200,0,162,93
