f_stock_MA-DFPPO,f_stock_A3C,f_stock_PPO,f_stock_AX,f_action_MA-DFPPO,f_action_A3C,f_action_PPO,f_action_AX,w_1_stock_MA-DFPPO,w_1_stock_A3C,w_1_stock_PPO,w_1_stock_AX,w_1_action_MA-DFPPO,w_1_action_A3C,w_1_action_PPO,w_1_action_AX,w_2_stock_MA-DFPPO,w_2_stock_A3C,w_2_stock_PPO,w_2_stock_AX,w_2_action_MA-DFPPO,w_2_action_A3C,w_2_action_PPO,w_2_action_AX,w_3_stock_MA-DFPPO,w_3_stock_A3C,w_3_stock_PPO,w_3_stock_AX,w_3_action_MA-DFPPO,w_3_action_A3C,w_3_action_PPO,w_3_action_AX
1028,910,746,782,0,982,982,0,135,85.96,99,89,81,81,81,13,136.48,116.48,67.48,92,91,91,91,16,92.6,86,137.6,92.30666667,0,0,164,30
856,574,574,663,0,0,0,0,181.12,131.12,82.12,35,81,81,81,13,242.48,192.48,143.48,55,91,91,91,16,89,203,154,16.80333333,0,164,0,30
765,402,402,454,0,0,0,0,156.68,187.68,138.68,7.49,0,81,81,13,300,275.8,226.8,11.49,91,91,91,16,85.96,199.96,150.96,41.32,0,0,0,30
765,402,230,326,0,0,0,81,141,172,204,18.07,0,0,81,13,296.84,272.64,300,24.98333333,0,0,91,16,78.32,192.32,143.32,68.91666667,0,0,0,30
690.48,402,230,267.16,0,0,0,0,208.44,164.92,196.92,25.49333333,74.52,0,0,13,293.68,269.48,296.84,35.09,0,0,0,15.84,64,178,129,93.48666667,0,0,0,30
684,402,230,222.9333333,0,0,0,0,211.32,161.32,193.32,23.04333333,6.48,0,0,13,285.92,261.72,289.08,20.89666667,0,0,0,1.226666667,39.6,153.6,104.6,108.0566667,0,0,0,30
526.56,402,230,164.4666667,0,0,0,0,207.92,157.92,189.92,8.713333333,0,0,0,13,271.64,247.44,274.8,8.813333333,0,0,0,15.46666667,161.64,118.2,69.2,110.6933333,157.44,0,0,30
520,315.04,230,105.4666667,0,0,0,0,200.36,153.6,182.36,0,0,3.24,0,13,246.88,294.48,250.04,0,0,83.72,0,16,123.36,73.36,24.36,101.0533333,6.56,0,0,30
436.28,285.08,978.84,55.83333333,0,0,982,9.366666667,185.48,161.4,167.48,0,0,22.68,0,13,292.8,265.96,280.48,0,83.72,7.28,69.16,16,73.32,23.32,138.32,81.50333333,0,0,164,30
429,1048,957,268.4666667,0,982,0,271.6333333,160.68,191.68,142.68,0,0,55.08,0,13,255.44,221.32,257.68,0,7.28,0,21.84,16,20.52,134.52,85.52,58.94666667,0,164,0,30
407.56,957,892.2,209.4666667,157.12,0,0,0,125.36,156.36,172.16,0,0,0,64.8,13,219.84,262.16,207.52,0,14.56,91,0,16,133.48,83.48,34.48,39.36,164,0,0,30
1075,953.76,627.56,150.4666667,824.88,0,0,0,161.88,115.12,143.88,0,81,3.24,16.2,13,243.24,209.12,245.48,0,76.44,0,91,16,89.28,39.28,147.72,29.81333333,0,0,157.44,30
991.28,640.68,486.24,91.46666667,0,0,0,0,111.64,142.64,151.96,0,0,77.76,58.32,13,276.84,250,271.8,0,83.72,91,76.44,16,53.64,147.96,118.64,32.29666667,0,144.32,6.56,30
896.44,479.76,449,313.4666667,0,0,0,281,140.16,154.96,122.16,0,81,64.8,22.68,13,238.6,280.92,240.84,1.08,7.28,76.44,14.56,16,36,143.44,94.44,46.71666667,6.56,19.68,0,30
580.36,449,284.28,254.4666667,0,0,0,0,160.68,120.4,152.4,7.503333333,71.28,16.2,81,13,290.28,260.32,288.68,11.58666667,87.36,14.56,83.72,16,177.84,127.84,78.84,71.29333333,157.44,0,0,30
567,364.36,529.28,195.4666667,0,0,274.96,0,126.4,157.4,131.08,17.94666667,9.72,81,22.68,13,269.56,239,271.6,25.12666667,3.64,3.64,7.28,16,170.44,120.44,71.44,98.78333333,0,0,0,30
486,392.4,1178,137.1066667,0,117.84,707.04,0,171.92,131.64,153.92,25.50666667,81,9.72,58.32,13,253.92,295.56,255.96,35.04,0,80.08,0,15.36,167.16,117.16,68.16,123.3966667,0,0,0,30
445.96,1142.36,1135.92,92.77333333,0,824.88,0,0,147.52,178.52,142.48,22.99,0,71.28,12.96,13,271.4,289.96,266.2,21.14666667,40.04,3.64,29.12,1.333333333,163.36,113.36,64.36,138.0166667,0,0,0,30
366.64,1178,1013.28,314.1566667,0,39.28,0,280.0633333,167.48,162.84,194.84,8.33,35.64,0,68.04,13,295.2,288.8,296.24,9.493333333,43.68,3.64,54.6,15.68,155.76,105.76,56.76,140.4633333,0,0,0,30
317.64,1174.76,1000.16,256.0933333,0,0,0,0.936666667,205.08,158.32,187.08,0,45.36,3.24,0,13,294.2,285.68,293.12,0,3.64,0,0,16,140.84,90.84,54.96,129.8133333,0,0,13.12,30
317.64,1165.04,888.64,197.0933333,0,0,0,0,201.2,164.16,183.2,0,0,9.72,0,13,286.92,278.4,285.84,0,0,0,0,16,116.52,66.52,142.16,110.24,0,0,111.52,30
