demand_f_ma_dfppo,demand_f_A3C,demand_f_PPO,demand_f_ma_Ax,f_stock_MA-DFPPO,f_stock_A3C,f_stock_PPO,f_stock_AX,f_action_MA-DFPPO,f_action_A3C,f_action_PPO,f_action_AX,w_1_demand,w_1_stock_MA-DFPPO,w_1_stock_A3C,w_1_stock_PPO,w_1_stock_AX,w_1_action_MA-DFPPO,w_1_action_A3C,w_1_action_PPO,w_1_action_AX,w_2_demand,w_2_stock_MA-DFPPO,w_2_stock_A3C,w_2_stock_PPO,w_2_stock_AX,w_2_action_MA-DFPPO,w_2_action_A3C,w_2_action_PPO,w_2_action_AX,w_3_demand,w_3_stock_MA-DFPPO,w_3_stock_A3C,w_3_stock_PPO,w_3_stock_AX,w_3_action_MA-DFPPO,w_3_action_A3C,w_3_action_PPO,w_3_action_AX
172,172,336,300,900,900,900,900,0,0,0,0,27,93,93,93,93,81,81,81,100,25,95,95,95,95,91,91,91,100,25,95,95,95,95,0,0,164,100
0,336,172,0,900,564,728,900,0,0,0,0,14,160,160,160,179,0,81,81,0,14,172,172,172,181,0,91,91,0,13,82,82,246,182,0,164,0,0
40,108,108,0,860,456,620,900,0,0,0,0,6,154,235,235,173,0,68,68,0,5,167,258,258,176,40,40,40,0,4,78,242,242,178,0,0,0,0
0,0,0,0,860,456,620,900,0,0,182,0,4,150,299,299,169,0,0,0,0,0,207,298,298,176,0,0,0,0,3,75,239,239,175,0,0,0,0
74.52,0,0,0,785.48,456,802,900,123,0,0,0,4,146,295,295,165,74.52,0,0,0,7,200,291,291,169,0,0,0,0,4,71,235,235,171,0,0,0,0
6.48,0,0,0,902,456,802,900,0,282,0,0,16,204.52,279,279,149,6.48,0,0,0,15,185,276,276,154,0,0,0,0,18,53,217,217,153,0,0,0,0
227.44,0,0,0,674.56,738,802,900,0,0,0,0,25,186,254,254,124,70,0,0,0,25,160,251,251,129,0,0,0,0,26,27,191,191,127,157.44,0,0,0
6.56,86.96,0,300,668,651.04,802,600,0,0,0,0,40,216,214,214,84,0,3.24,0,100,38,122,213,213,91,0,83.72,0,100,42,142.44,149,149,85,6.56,0,0,100
83.72,29.96,233.16,0,584.28,621.08,568.84,600,0,190,290,0,48,168,169.24,166,136,0,22.68,0,0,48,74,248.72,165,143,83.72,7.28,69.16,0,50,99,99,99,135,0,0,164,0
7.28,219.08,21.84,300,577,592,837,300,0,0,0,300,53,115,138.92,113,83,0,55.08,0,100,50,107.72,206,184.16,93,7.28,0,21.84,100,51,48,48,212,84,0,164,0,100
178.56,91,64.8,0,398.44,501,772.2,600,257,0,0,0,48,67,146,65,135,0,0,64.8,0,52,63,154,154,141,14.56,91,0,0,49,-1,163,163,135,164,0,0,0
157.44,3.24,264.64,200,498,497.76,507.56,400,,0,0,0,40,27,106,89.8,95,81,3.24,16.2,100,40,37.56,205,114,101,76.44,0,91,0,39,124,124,124,96,0,0,157.44,100
83.72,313.08,64.88,100,414.28,184.68,442.68,300,0,335,0,300,27,81,82.24,79,168,0,77.76,58.32,0,26,88,179,179,75,83.72,91,0,100,29,95,95,252.44,167,0,144.32,6.56,0
94.84,160.92,37.24,0,319.44,358.76,405.44,600,280,0,254,0,18,63,142,119.32,150,81,64.8,22.68,0,17,154.72,253,162,158,7.28,76.44,14.56,0,17,78,222.32,242,150,6.56,19.68,0,0
228.72,30.76,164.72,0,370.72,328,494.72,600,0,32,0,0,7,137,199.8,135,143,71.28,16.2,81,0,5,157,324.44,171.56,153,0,14.56,83.72,0,4,80.56,238,238,146,157.44,0,0,0
13.36,84.64,12.28,0,357.36,275.36,482.44,600,0,180,0,0,5,203.28,211,211,138,9.72,81,5,0,3,154,336,252.28,150,3.64,3.64,7.28,0,2,236,236,236,144,0,0,0,0
81,89.8,58.32,0,276.36,365.56,424.12,600,0,282,0,0,7,206,285,209,131,81,9.72,58.32,0,4,153.64,335.64,255.56,146,0,80.08,0,0,7,229,229,229,137,0,0,0,0
40.04,74.92,42.08,0,236.32,572.64,382.04,600,220,0,0,0,18,269,276.72,249.32,113,0,71.28,12.96,0,13,140.64,402.72,242.56,133,40.04,3.64,29.12,0,17,212,212,212,120,0,0,0,0
79.32,3.64,76.6,200,377,569,305.44,400,0,39.28,231,0,28,241,320,234.28,85,35.64,0,22,100,29,151.68,377.36,242.68,104,43.68,3.64,54.6,0,29,183,183,183,91,0,0,0,100
3.64,3.24,13.12,100,373.36,605.04,523.32,300,0,0,0,300,38,238.64,282,218.28,147,0,3.24,0,0,42,153.36,339,255.28,62,3.64,0,0,100,43,140,140,140,148,0,0,13.12,0
0,9.72,111.52,100,373.36,595.32,411.8,500,0,0,0,0,52,186.64,233.24,166.28,95,0,9.72,0,100,52,105,287,203.28,110,0,0,0,0,47,93,93,106.12,101,0,0,111.52,0
0,16.2,3.64,200,373.36,579.12,408.16,300,0,0,0,300,55,131.64,187.96,111.28,140,0,16.2,0,0,54,51,233,149.28,56,0,0,3.64,100,53,40,40,164.64,48,0,0,0,100
170,170.8,3.64,200,203.36,408.32,404.52,400,280,280,0,0,48,83.64,156.16,63.28,92,0,9.72,0,100,52,-1,181,100.92,104,100,3.64,3.64,0,49,-9,-9,115.64,99,70,157.44,0,100
206.92,119.44,65.52,100,276.44,568.88,339,300,280,0,150,300,40,43.64,125.88,23.28,152,0,29.16,0,0,39,60,145.64,65.56,65,69.16,83.72,65.52,100,39,22,109.44,76.64,160,137.76,6.56,0,0
44.44,16.6,80.8,0,512,552.28,408.2,600,,0,0,0,29,14.64,126.04,-5.72,123,0,12.96,6.48,0,30,99.16,199.36,101.08,135,18.2,3.64,21.84,0,25,134.76,91,51.64,135,26.24,0,52.48,0
33.2,65.6,193.32,0,478.8,486.68,214.88,600,0,282,270,0,18,-3.36,121,-17.24,105,25.92,0,74.52,0,16,101.36,187,106.92,119,7.28,0,7.28,0,15,146,76,89.12,120,0,65.6,111.52,0
114.12,159.52,83.72,100,364.68,609.16,401.16,500,0,0,0,0,8,14.56,113,49.28,97,55.08,35.64,0,100,4,104.64,183,110.2,115,0,25.48,83.72,0,3,143,138.6,197.64,117,59.04,98.4,0,0
77.68,45.36,81,0,287,563.8,320.16,500,220,0,0,0,4,65.64,144.64,45.28,193,22.68,45.36,81,0,1,103.64,207.48,192.92,114,0,0,0,0,1,201.04,236,196.64,116,55,0,0,0
72.88,84.64,21.44,0,434.12,479.16,298.72,500,0,0,153,0,8,80.32,182,118.28,185,58.32,81,3.24,0,8,95.64,199.48,184.92,106,14.56,3.64,18.2,0,5,251.04,231,191.64,111,0,0,0,0
164.72,22.84,170.96,200,269.4,456.32,280.76,300,0,196.4,0,300,14,124.64,249,107.52,171,81,9.72,77.76,0,14,96.2,189.12,189.12,92,83.72,0,80.08,100,13,238.04,218,178.64,98,0,13.12,13.12,100
